,city,name,location,price,discount,m2,bedrooms,bathrooms,insert_date
731,Madrid,Piso en venta en Calle de Cartagena,"Chamartín, Prosperidad, Madrid","189,000",12, 49, 1, 1,2023-10-15
732,Madrid,Trastero en venta en Calle Zigia,"Ciudad Lineal, Concepción, Madrid","10,000",0, 10,unknown,unknown,2023-10-15
733,Madrid,Piso en venta en Arganzuela,"Delicias - Embajadores, Madrid","340,000",0, 87, 4, 1,2023-10-15
734,Madrid,Piso en venta en San Blas,"Simancas, Madrid","179,999",0, 88, 1, 2,2023-10-15
735,Madrid,Box/plaza de garaje en venta en Latina,"Puerta Del Ángel, Madrid","34,000",0, 18,unknown, 1,2023-10-15
736,Madrid,Box/plaza de garaje en venta en Latina,"Puerta Del Ángel, Madrid","30,000",0, 11,unknown, 1,2023-10-15
737,Madrid,Piso en venta en Latina,"Aluche, Madrid","130,000",0, 65, 3, 2,2023-10-15
738,Madrid,Piso en venta en Villaverde,"Ciudad De Los Angeles, Madrid","185,000",0, 108, 3, 2,2023-10-15
739,Madrid,Box/plaza de garaje en venta en Carabanchel,"Opañel - San Isidro, Madrid","8,000",0, 8,unknown,unknown,2023-10-15
740,Madrid,Piso en venta en Ciudad Lineal,"Pueblo Nuevo, Madrid","129,000",16, 63, 2, 1,2023-10-15
741,Madrid,Piso en venta en Retiro,Madrid,"255,000",0, 190, 2, 1,2023-10-15
742,Madrid,Piso en venta en Puente De Vallecas,"Palomeras - Portazgo, Madrid","269,900",0, 111, 3, 2,2023-10-15
743,Madrid,Piso en venta en Latina,"Aluche, Madrid","328,000",0, 115,unknown, 2,2023-10-15
744,Madrid,Local comercial en venta en Arganzuela,"Delicias - Embajadores, Madrid","180,000",0, 10, 2, 1,2023-10-15
745,Madrid,Box/plaza de garaje en venta en Hortaleza,"Canillas, Madrid","17,000",0, 1,unknown,unknown,2023-10-15
746,Madrid,Local comercial en venta en Ciudad Lineal,"Concepción, Madrid","50,000",0, 40, 1,unknown,2023-10-15
747,Madrid,Piso en venta en San Blas,"Canillejas, Madrid","179,999",0, 94, 3, 1,2023-10-15
748,Madrid,Local comercial en venta en Usera,"Orcasitas - San Fermin, Madrid","140,000",0, 259,unknown, 1,2023-10-15
749,Madrid,Piso en venta en San Blas,"Canillejas, Madrid","175,000",0, 89, 3, 1,2023-10-15
750,Madrid,Box/plaza de garaje en venta en Tetuán,"Bellas Vistas, Madrid","17,000",0, 10,unknown,unknown,2023-10-15
751,Madrid,Piso en venta en Ciudad Lineal,"Pueblo Nuevo, Madrid","125,000",16, 57, 2, 1,2023-10-15
752,Madrid,Box/plaza de garaje en venta en Chamberí,Madrid,"70,000",0,,unknown,unknown,2023-10-15
753,Madrid,Piso en venta en Villaverde,"Villaverde Alto, Madrid","110,000",0, 58, 2, 1,2023-10-15
754,Madrid,Local comercial en venta en Calle Tordegrillos,"Villaverde, Villaverde Alto, Madrid","75,000",20, 90,unknown, 1,2023-10-15
755,Madrid,Piso en venta en Ciudad Lineal,"Pueblo Nuevo, Madrid","140,000",16, 59, 2, 1,2023-10-15
756,Madrid,Piso en venta en Moncloa - Aravaca,"Ciudad Universitaria, Madrid","480,000",7, 97, 4, 2,2023-10-15
757,Madrid,Piso en venta en Ciudad Lineal,"Concepción, Madrid","170,000",11, 65, 2, 1,2023-10-15
758,Madrid,Piso en venta en Centro,"Lavapiés - Embajadores, Madrid","250,000",0, 6, 2, 1,2023-10-15
759,Madrid,Piso en venta en San Blas,"Canillejas, Madrid","339,000",0, 89, 2, 2,2023-10-15
760,Madrid,Piso en venta en Arganzuela,"Acacias - Legazpi, Madrid","190,000",0, 37, 1,unknown,2023-10-15
761,Madrid,Piso en venta en Calle Algodonales,"Tetuán, Berruguete, Madrid","300,000",0, 84, 2,unknown,2023-10-15
762,Madrid,Piso en venta en Arganzuela,"Delicias - Embajadores, Madrid","180,000",12, 84, 1, 1,2023-10-15
763,Madrid,Box/plaza de garaje en venta en Villaverde,"Ciudad De Los Angeles, Madrid","18,000",0, 15,unknown,unknown,2023-10-15
764,Madrid,Piso en venta en Ciudad Lineal,"Pueblo Nuevo, Madrid","155,000",16, 58, 2, 1,2023-10-15
765,Madrid,Piso en venta en Puente De Vallecas,"Palomeras - Portazgo, Madrid","229,000",3, 76, 3,unknown,2023-10-15
766,Madrid,Box/plaza de garaje en venta en Villaverde,"Villaverde Bajo - Oroquieta - Espinillo, Madrid","13,000",0, 19,unknown,unknown,2023-10-15
767,Madrid,Piso en venta en Moratalaz,Madrid,"320,000",0, 9, 3, 2,2023-10-15
768,Madrid,Piso en venta en Latina,"Lucero, Madrid","164,900",0, 68, 3, 2,2023-10-15
769,Madrid,Local comercial en venta en Retiro,Madrid,"325,000",4, 85, 4, 2,2023-10-15
770,Madrid,Piso en venta en Carabanchel,"Vista Alegre, Madrid","155,000",0, 85, 3, 1,2023-10-15
771,Madrid,Box/plaza de garaje en venta en Chamberí,Madrid,"73,000",0,,unknown,unknown,2023-10-15
772,Madrid,Box/plaza de garaje en venta en Tetuán,"Berruguete, Madrid","10,000",0, 20,unknown,unknown,2023-10-15
